Time,File,Event,Team,ID,EntityName,X,Y 
96.691093,HealthComponent.c,death,Enemy,19,enemy,850.983,1431.79,END
101.041351,HealthComponent.c,death,Enemy,9,enemy,1285.21,1686.96,END
101.424706,HealthComponent.c,death,Enemy,12,enemy,1362.44,1702.13,END
102.775063,HealthComponent.c,death,Enemy,27,enemy,831.685,1977.72,END
103.225037,HealthComponent.c,death,Enemy,14,enemy,1178.16,1875.28,END
103.491585,HealthComponent.c,death,Enemy,30,enemy,1099.25,1903.45,END
103.941536,HealthComponent.c,death,Enemy,24,enemy,1182.28,1949.96,END
104.591682,HealthComponent.c,death,Enemy,21,enemy,1155.18,2183.03,END
106.174965,HealthComponent.c,death,Enemy,33,enemy,765.804,1989.98,END
106.391655,HealthComponent.c,death,Enemy,31,enemy,1115.89,1971.46,END
107.091698,HealthComponent.c,death,Enemy,10,enemy,1280.22,1983.34,END
107.425011,HealthComponent.c,death,Enemy,23,enemy,1223.42,1961.52,END
107.791679,HealthComponent.c,death,Enemy,13,enemy,1284.04,1815.98,END
107.991959,HealthComponent.c,death,Enemy,20,enemy,1430.35,1658.63,END
109.108315,HealthComponent.c,death,Enemy,16,enemy,998.844,2027.37,END
110.208618,HealthComponent.c,death,Enemy,15,enemy,1514.58,2092.55,END
111.125145,HealthComponent.c,death,Enemy,17,enemy,1257.79,2266.65,END
111.975174,HealthComponent.c,death,Enemy,32,enemy,1297.05,1986.36,END
112.791985,HealthComponent.c,death,Enemy,25,enemy,1296.08,1967.62,END
112.908646,HealthComponent.c,death,Enemy,22,enemy,1309.07,1994.9,END
118.659531,HealthComponent.c,death,Enemy,29,enemy,1777.43,2488.25,END
119.009460,HealthComponent.c,death,Enemy,18,enemy,1731.68,2342.76,END
120.309685,HealthComponent.c,death,Enemy,28,enemy,1770.96,2579.82,END
123.926529,HealthComponent.c,death,Enemy,11,enemy,1292.15,3010.69,END
135.112228,HealthComponent.c,death,Enemy,26,enemy,1109.37,2946.57,END
 
