Time,CppFile,Type,System,Duration,Header6,Header7,Header8,Header9,Header10,Header11,Header12
0.016679,LevelState.c,L_string,Level Start,,,,,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4468,L_TeamEnemy,1688.72,-2916.77,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4471,L_TeamEnemy,-2235.95,-962.535,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4478,L_TeamEnemy,-2450.55,-2426.24,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4480,L_TeamEnemy,-1844.24,-1552.4,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4482,L_TeamEnemy,-2492.22,2122.45,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4484,L_TeamEnemy,-2744.89,-84.2384,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemyStation,4488,L_TeamEnemy,-2158.11,316.743,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4490,L_TeamEnemy,-2282.24,128.059,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4491,L_TeamEnemy,-1991.91,218.025,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4492,L_TeamEnemy,-2229.58,151.863,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4493,L_TeamEnemy,-2166.7,175.837,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4494,L_TeamEnemy,-2136.87,193.745,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4495,L_TeamEnemy,-2043.06,820.924,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4496,L_TeamEnemy,-1962.47,812.354,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4497,L_TeamEnemy,-2151,853.382,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4498,L_TeamEnemy,-2236.83,924.915,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4499,L_TeamEnemy,-1913.27,730.836,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4500,L_TeamEnemy,-2257.61,946.961,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4501,L_TeamEnemy,-1948.03,633.344,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4502,L_TeamEnemy,-2093.21,492.17,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4503,L_TeamEnemy,-2107.19,748.701,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4504,L_TeamEnemy,-2167.97,629.633,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4505,L_TeamEnemy,-2215.07,616.315,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySuicide,4506,L_TeamEnemy,-2158.87,469.953,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4507,L_TeamEnemy,-2729.47,-212.424,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4509,L_TeamEnemy,-2827.26,-68.7721,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4511,L_TeamEnemy,-2902.46,-130.43,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4513,L_TeamEnemy,-2686.26,-275.62,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4515,L_TeamEnemy,-2780.57,-74.253,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4517,L_TeamEnemy,-2802.42,-267.429,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4519,L_TeamEnemy,-2748.14,-214.426,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4521,L_TeamEnemy,-2571,93.4227,,,,
0.016679,LevelGenNormal.c,L_spawn,EnemySimple,4523,L_TeamEnemy,-2904.75,-167.442,,,,
