Time,CppFile,LogType,SourceType,SourceID,Team,Weapon,Damage,DestinationType,DestinationID,X,Y
3.470684,LevelState.c,L_string,Level Start,,,,,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,5,L_TeamEnemy,540.722,1751.57,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,7,L_TeamEnemy,578.845,2070.65,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,9,L_TeamEnemy,678.222,1876.91,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,11,L_TeamEnemy,662.267,1983.94,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,13,L_TeamEnemy,670.08,1754.29,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,15,L_TeamEnemy,410.62,1915.33,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,17,L_TeamEnemy,678.405,1691.98,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,19,L_TeamEnemy,647.521,1917.64,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,21,L_TeamEnemy,396.105,2072.33,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,23,L_TeamEnemy,729.662,1792.12,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,25,L_TeamEnemy,719.506,1944.32,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,27,L_TeamEnemy,501.061,1720.26,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,29,L_TeamEnemy,637.512,2010.4,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,31,L_TeamEnemy,395.129,2046.43,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,33,L_TeamEnemy,649.645,1970.52,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,35,L_TeamEnemy,696.813,1873.92,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,37,L_TeamEnemy,625.402,1985.71,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,39,L_TeamEnemy,377.38,1936.57,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,41,L_TeamEnemy,617.626,1823.58,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,43,L_TeamEnemy,514.44,1808.86,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,45,L_TeamEnemy,542.26,1848.4,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,47,L_TeamEnemy,709.509,1716.61,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,49,L_TeamEnemy,436.926,1818.26,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,51,L_TeamEnemy,715.856,1811.18,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,53,L_TeamEnemy,411.059,2051.72,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,55,L_TeamEnemy,488.915,1969.2,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,57,L_TeamEnemy,399.78,1726.45,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,59,L_TeamEnemy,471.85,1780.76,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,61,L_TeamEnemy,434.313,2072.46,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,63,L_TeamEnemy,528.857,1788.33,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,65,L_TeamEnemy,741.235,2022.37,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,67,L_TeamEnemy,538.561,2038.95,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,69,L_TeamEnemy,383.154,2081.17,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,71,L_TeamEnemy,660.058,1812.22,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,73,L_TeamEnemy,553.259,1978,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,75,L_TeamEnemy,684.142,1786.51,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,77,L_TeamEnemy,436.352,1862.53,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,79,L_TeamEnemy,482.202,1706.06,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,81,L_TeamEnemy,548.718,1808.31,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,83,L_TeamEnemy,565.234,2011.3,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,85,L_TeamEnemy,669.433,1785.64,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,87,L_TeamEnemy,765.539,1694.89,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,89,L_TeamEnemy,475.536,2066.59,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,91,L_TeamEnemy,453.576,2046.2,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,93,L_TeamEnemy,393.701,1824.34,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,95,L_TeamEnemy,702.453,1746.36,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,97,L_TeamEnemy,380.688,1889.79,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,99,L_TeamEnemy,612.573,1776.83,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,101,L_TeamEnemy,545.312,1827.5,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,103,L_TeamEnemy,608.984,2003.54,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,105,L_TeamEnemy,524.255,1693.82,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,107,L_TeamEnemy,523.828,1899.43,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,109,L_TeamEnemy,724.328,1839.39,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,111,L_TeamEnemy,476.44,2067.76,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,113,L_TeamEnemy,743.578,1918.83,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,115,L_TeamEnemy,763.708,1828.65,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,117,L_TeamEnemy,483.837,2069.89,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,119,L_TeamEnemy,772.924,1931.44,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,121,L_TeamEnemy,467.199,1824.59,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,123,L_TeamEnemy,729.955,2055.35,,,,
3.470684,LevelGenNormal.c,L_spawn,EnemySimple,125,L_TeamEnemy,468.896,1714.95,,,,
